DATE,STORE_NBR,LYLTY_CARD_NBR,TXN_ID,PROD_NBR,PROD_NAME,PROD_QTY,TOT_SALES,AVG_PRICE_PER_UNIT,PACK_SIZE,BRAND,LIFESTAGE,PREMIUM_CUSTOMER
2018-08-18,2,2426,1038,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,3,13.8,4.6000000000000005,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-15,38,38142,34181,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,55,55073,48887,4,Dorito Corn Chp     Supreme 380g,1,3.25,3.25,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-08-19,75,75186,74168,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-16,83,83186,83162,4,Dorito Corn Chp     Supreme 380g,2,6.5,3.25,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-08-15,173,173154,174550,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-14,212,212203,211586,4,Dorito Corn Chp     Supreme 380g,1,3.25,3.25,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,216,216104,215132,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,1,4.6,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,226,226133,226926,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,1,4.6,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-19,262,262126,262025,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,4,18.4,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,269,269175,266095,4,Dorito Corn Chp     Supreme 380g,2,6.5,3.25,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-11-03,3,3164,1779,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-01-24,3,3164,1780,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-09,4,4074,2979,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-12-12,4,4074,2980,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-01-14,4,4196,3538,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-12-02,4,4371,4315,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-03-04,4,4371,4317,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-06-04,5,5015,4453,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-09-24,5,5050,4664,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-02-11,7,7364,7740,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-12-05,8,8092,7931,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-06,15,15091,13320,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-09-14,19,19065,16011,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-05-28,19,19065,16014,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-03-01,22,22375,18594,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-01-02,23,23067,19160,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-06-05,27,27132,24141,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-07-20,28,28206,25746,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-11-20,29,29001,25920,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-04-18,32,32208,29269,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-02-23,36,36203,32791,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-07-03,36,36216,32842,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-11-17,36,36216,32844,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-12-21,40,40249,37246,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-04-10,41,41423,38391,60,Kettle Tortilla ChpsFeta&Garlic 150g,1,4.6,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-07-11,43,43149,39616,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-12-05,43,43227,40184,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-09-14,45,45220,41649,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-02-17,47,47287,42733,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-12-02,54,54022,47847,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-06-06,55,55073,48888,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-12-10,55,55202,49686,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-09-12,57,57009,51308,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-11-30,58,58071,53141,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-11-13,58,58121,53347,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-01-15,58,58121,53349,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-07-03,58,58165,53540,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-07-11,58,58191,53662,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-06-12,59,59063,54869,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-29,60,60162,56826,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-07-20,62,62002,57775,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-07-21,64,64014,61117,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-10-08,65,65325,63005,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-06-13,68,68326,65775,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-07-09,69,69113,66536,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-05-01,72,72094,71000,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-10-22,72,72159,71301,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-11-03,75,75127,73903,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-12-01,75,75294,74605,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-11-15,75,75309,74678,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-02-28,77,77310,75254,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,1,4.6,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-06-03,78,78224,76758,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-10-28,79,79063,77104,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-02-22,79,79079,77159,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-06-10,80,80078,78577,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-06-07,80,80173,78944,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-10-28,81,81155,80437,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-03,81,81374,81381,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-12-03,81,81374,81384,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-07-25,83,83159,82984,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-10-01,83,83159,82986,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-02-13,83,83186,83165,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-09-12,88,88000,86220,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-08-25,88,88074,86580,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-12-13,88,88089,86650,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-06-22,88,88119,86821,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-04-16,88,88211,87262,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-07-16,88,88320,87805,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-04-14,91,91114,89650,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-02-05,91,91289,90252,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-12-14,91,91340,90429,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-03-03,94,94236,93985,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-10,94,94236,93986,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-09-22,95,95161,94839,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-11-20,97,97144,97164,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-03-22,101,101052,100353,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-07-21,101,101247,101467,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-10-09,101,101247,101468,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-03-18,103,103038,103110,60,Kettle Tortilla ChpsFeta&Garlic 150g,1,4.6,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-23,106,106122,107474,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-10-06,106,106169,107762,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-01-25,107,107028,108484,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-04-25,107,107055,108647,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-05-24,107,107055,108648,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-03-11,110,110013,111796,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-02-10,110,110016,111814,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-11-06,110,110070,112101,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-11-22,111,111153,113322,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-10-24,111,111259,113435,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,1,4.6,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-04-03,112,112176,114853,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-11-14,112,112198,114998,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-01-20,113,113032,115577,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-08-12,113,113159,116451,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-06-02,114,114185,118044,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-04-06,115,115343,118930,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-02-25,118,118007,120734,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-04-17,119,119177,122843,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-08,119,119177,122844,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
